"PIXEL","GAL_LON","GAL_LAT","WEIGHT","TEMP","TEMP_SIG","RESID_TE"
"410","1.085690E+02","1.761867E+01","2.406107E+00","2.726658E+00","1.012688E-04","1.134872E-04"
"411","1.112631E+02","1.762925E+01","2.399145E+00","2.726563E+00","1.014156E-04","-2.455711E-05"
"412","1.135739E+02","1.488744E+01","2.280409E+00","2.726529E+00","1.040223E-04","4.196167E-05"
"413","1.163799E+02","1.446319E+01","1.813095E+00","2.726354E+00","1.166602E-04","-1.645088E-04"
"414","1.138727E+02","1.729767E+01","2.095826E+00","2.726782E+00","1.085064E-04","1.661777E-04"
"415","1.166108E+02","1.702735E+01","1.939482E+00","2.726572E+00","1.127951E-04","-8.130074E-05"
"416","9.835809E+01","2.050713E+01","1.581718E+00","2.726731E+00","1.249018E-04","1.523495E-04"
"417","1.004768E+02","2.077234E+01","7.459295E+00","2.726746E+00","5.751540E-05","1.335144E-04"
"418","9.822567E+01","2.350857E+01","8.211538E+00","2.726746E+00","5.481769E-05","4.529953E-06"
"419","1.002887E+02","2.317216E+01","6.588738E+00","2.726713E+00","6.119725E-05","-2.741814E-05"
"420","1.032302E+02","2.052725E+01","3.583804E+00","2.726757E+00","8.297761E-05","1.285076E-04"
"421","1.059826E+02","2.039891E+01","3.022871E+00","2.726748E+00","9.034897E-05","9.226799E-05"
"422","1.034219E+02","2.314292E+01","5.727048E+00","2.726783E+00","6.563985E-05","1.072884E-05"
"423","1.062953E+02","2.302491E+01","3.832016E+00","2.726896E+00","8.024526E-05","9.512901E-05"
"424","9.730161E+01","2.531797E+01","6.089471E+00","2.726854E+00","6.365657E-05","1.978874E-05"
"425","1.007329E+02","2.554649E+01","5.066397E+00","2.726870E+00","6.978842E-05","-5.722046E-06"
"426","9.858260E+01","2.846293E+01","1.285732E-01","2.726554E+00","4.380844E-04","-4.661083E-04"
"427","1.017244E+02","2.851738E+01","5.565386E+00","2.727145E+00","6.658637E-05","9.417534E-05"
"428","1.035045E+02","2.565591E+01","4.224328E+00","2.726922E+00","7.642830E-05","1.120567E-05"
"429","1.063850E+02","2.551144E+01","3.284139E+00","2.727036E+00","8.668067E-05","9.822845E-05"
"430","1.036502E+02","2.842733E+01","4.470236E+00","2.727134E+00","7.429640E-05","6.699562E-05"
"431","1.065422E+02","2.806448E+01","3.124733E+00","2.727070E+00","8.886414E-05","-1.049042E-05"
"432","1.088054E+02","2.034182E+01","3.244404E+00","2.726863E+00","8.720985E-05","1.709461E-04"
"433","1.114032E+02","2.002379E+01","2.414130E+00","2.726677E+00","1.011004E-04","-3.886223E-05"
"434","1.091026E+02","2.282543E+01","3.423845E+00","2.726924E+00","8.489380E-05","9.441376E-05"
"435","1.118657E+02","2.246992E+01","3.019020E+00","2.726997E+00","9.040657E-05","1.442432E-04"
"436","1.143108E+02","1.976813E+01","2.457380E+00","2.726773E+00","1.002067E-04","2.098083E-05"
"437","1.169488E+02","1.960430E+01","2.341863E+00","2.726797E+00","1.026484E-04","4.053116E-06"
"438","1.144945E+02","2.223555E+01","2.649698E+00","2.726819E+00","9.650167E-05","-6.699562E-05"
"439","1.176341E+02","2.179367E+01","1.968168E+00","2.726810E+00","1.119701E-04","-1.115799E-04"
"440","1.092198E+02","2.522809E+01","2.126618E+00","2.726878E+00","1.077180E-04","-8.296967E-05"
"441","1.120387E+02","2.488728E+01","1.723089E+00","2.726878E+00","1.196683E-04","-1.080036E-04"
"442","1.096288E+02","2.786362E+01","1.933291E+00","2.726886E+00","1.129755E-04","-2.255440E-04"
"443","1.129134E+02","2.760391E+01","1.901608E+00","2.726973E+00","1.139128E-04","-1.749992E-04"
"444","1.154206E+02","2.455411E+01","1.116522E+00","2.726835E+00","1.486618E-04","-1.912117E-04"
"445","1.183020E+02","2.428530E+01","1.140076E+00","2.726937E+00","1.471181E-04","-1.289845E-04"
"446","1.157644E+02","2.714113E+01","1.708483E+00","2.727024E+00","1.201788E-04","-1.475811E-04"
"447","1.182207E+02","2.680599E+01","1.524485E+00","2.726968E+00","1.272247E-04","-2.307892E-04"
"448","1.179688E+02","9.443601E+00","1.413012E+00","2.726516E+00","1.321478E-04","2.119541E-04"
"449","1.207034E+02","8.759985E+00","1.404282E+00","2.726489E+00","1.325580E-04","1.580715E-04"
"450","1.185407E+02","1.175899E+01","1.709953E+00","2.726422E+00","1.201271E-04","-6.914139E-06"
"451","1.210841E+02","1.119238E+01","1.205174E+00","2.726665E+00","1.430896E-04","2.090931E-04"
"452","1.234912E+02","8.770377E+00","1.072342E+00","2.726682E+00","1.516933E-04","2.861023E-04"
"453","1.260599E+02","8.155245E+00","1.383637E+00","2.726429E+00","1.335432E-04","-1.668930E-06"
"454","1.239689E+02","1.127570E+01","1.416129E+00","2.726490E+00","1.320023E-04","-3.790855E-05"
"455","1.265154E+02","1.066635E+01","1.518985E+00","2.726649E+00","1.274548E-04","8.702278E-05"
"456","1.191065E+02","1.428771E+01","1.453403E+00","2.726592E+00","1.302987E-04","2.598763E-05"
"457","1.218465E+02","1.370559E+01","1.840108E+00","2.726686E+00","1.158007E-04","8.893013E-05"
"458","1.193496E+02","1.654895E+01","1.727331E+00","2.726640E+00","1.195213E-04","-4.458427E-05"
"459","1.221059E+02","1.592470E+01","1.298116E+00","2.726552E+00","1.378721E-04","-1.618862E-04"
"460","1.244021E+02","1.356161E+01","1.614737E+00","2.726683E+00","1.236181E-04","3.290176E-05"
"461","1.272663E+02","1.277614E+01","1.075164E+00","2.726854E+00","1.514941E-04","1.707077E-04"
"462","1.254187E+02","1.611366E+01","1.096689E+00","2.726759E+00","1.500000E-04","-4.243851E-05"
"463","1.283735E+02","1.531693E+01","1.341687E+00","2.727044E+00","1.356149E-04","2.074242E-04"
"464","1.289899E+02","8.278733E+00","1.373768E+00","2.726836E+00","1.340221E-04","3.228188E-04"
"465","1.316146E+02","7.310844E+00","1.137502E+00","2.726520E+00","1.472844E-04","-2.050400E-05"
"466","1.294766E+02","1.028242E+01","1.059500E+00","2.726908E+00","1.526098E-04","2.865791E-04"
"467","1.329136E+02","9.748400E+00","1.007983E+00","2.727275E+00","1.564611E-04","5.826950E-04"
"468","1.354620E+02","7.180575E+00","6.960493E-01","2.726870E+00","1.882838E-04","2.229214E-04"
"469","1.381191E+02","6.301342E+00","1.151392E+00","2.726982E+00","1.463934E-04","2.944469E-04"
"470","1.355894E+02","8.869168E+00","8.710428E-01","2.726825E+00","1.683113E-04","9.584427E-05"
"471","1.389698E+02","8.633222E+00","5.744177E-01","2.727162E+00","2.072617E-04","3.404617E-04"
"472","1.301532E+02","1.235328E+01","8.296789E-01","2.726642E+00","1.724559E-04","-9.751320E-05"
"473","1.335612E+02","1.208893E+01","9.376898E-01","2.727047E+00","1.622196E-04","2.250671E-04"
"474","1.312261E+02","1.455581E+01","1.555092E+00","2.726819E+00","1.259665E-04","-5.698204E-05"
"475","1.340105E+02","1.397866E+01","1.532820E+00","2.726968E+00","1.268783E-04","4.196167E-05"
"476","1.367356E+02","1.140870E+01","1.244560E+00","2.726854E+00","1.408073E-04","-2.908707E-05"
"477","1.394943E+02","1.034057E+01","1.547258E+00","2.727165E+00","1.262850E-04","2.470016E-04"
"478","1.369905E+02","1.332118E+01","1.664273E+00","2.726909E+00","1.217645E-04","-7.295609E-05"
"479","1.400283E+02","1.227804E+01","1.592028E+00","2.727162E+00","1.244966E-04","1.368523E-04"
"480","1.200640E+02","1.911463E+01","1.927069E+00","2.726931E+00","1.131578E-04","9.965897E-05"
